时间	桩号	地点	车速（km/h）	车牌
time	station	location	m_fSpeed	m_strCarNum
2021/4/25 15:37	K56+400	青龙立交	3771	蓝渝F637L5
2021/4/25 15:35	K56+400	青龙立交	4595	蓝渝FT3959
2021/4/25 15:35	K56+400	青龙立交	3754	蓝渝D322M0
2021/4/25 15:37	K56+400	青龙立交	3613	蓝渝F65A93
2021/4/25 15:35	K56+400	青龙立交	4437	蓝渝F82F07
2021/4/25 15:37	K56+400	青龙立交	3294	蓝渝F13Z17
2021/4/25 15:35	K56+400	青龙立交	6520	蓝渝AY70N0
2021/4/25 15:37	K56+400	青龙立交	4386	蓝渝FGL908
2021/4/25 15:36	K56+400	青龙立交	4993	蓝渝FER886
2021/4/25 15:37	K56+400	青龙立交	4133	蓝渝A1FE58
2021/4/25 15:37	K56+400	青龙立交	4085	蓝渝F980F8
2021/4/25 15:37	K56+400	青龙立交	4927	蓝渝F19W35
2021/4/25 15:36	K56+400	青龙立交	4929	蓝渝FDW132
2021/4/25 15:36	K56+400	青龙立交	3894	蓝渝F569E5
2021/4/25 15:36	K56+400	青龙立交	5133	蓝渝AR827D
2021/4/25 15:38	K56+400	青龙立交	3378	黄渝A01156D
2021/4/25 15:38	K56+400	青龙立交	4607	蓝渝AT2658
2021/4/25 15:38	K56+400	青龙立交	2997	蓝渝AK173A
2021/4/25 15:36	K56+400	青龙立交	4387	蓝渝A5399T
2021/4/25 15:38	K56+400	青龙立交	4310	蓝渝FRR972
2021/4/25 15:38	K56+400	青龙立交	3245	蓝渝F3B333
2021/4/25 15:36	K56+400	青龙立交	4951	蓝渝F19K68
2021/4/25 15:38	K56+400	青龙立交	4031	蓝渝AP77B7
2021/4/25 15:36	K56+400	青龙立交	4514	蓝渝FLE050
2021/4/25 15:36	K56+400	青龙立交	4153	蓝渝F79E86
2021/4/25 15:36	K56+400	青龙立交	4903	蓝渝F20F58
2021/4/25 15:38	K56+400	青龙立交	3780	绿渝AD14776
2021/4/25 15:38	K56+400	青龙立交	3922	蓝浙BK510E
2021/4/25 15:38	K56+400	青龙立交	4104	蓝渝F12K77
2021/4/25 15:38	K56+400	青龙立交	3961	NO
2021/4/25 15:38	K56+400	青龙立交	3512	蓝渝G9X909
2021/4/25 15:37	K56+400	青龙立交	5306	绿渝AF22505
2021/4/25 15:38	K56+400	青龙立交	4565	蓝渝FF1638
2021/4/25 15:37	K56+400	青龙立交	5023	蓝渝D97A27
2021/4/25 15:37	K56+400	青龙立交	4537	蓝渝AV27B0
2021/4/25 15:37	K56+400	青龙立交	4744	绿渝ADA6190
2021/4/25 15:37	K56+400	青龙立交	5018	蓝渝AD200M
2021/4/25 15:37	K56+400	青龙立交	4698	蓝渝AD39E3
